"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"clpP_2","","ATP-dependent Clp protease proteolytic subunit","0","38","8","0","0.0","0.0","0.0","3.832404138206993e-09","5.94022641422084e-07","7.42528301777605e-08","2","0","2","0.5","0.5","0.34375"
"rfaH_2","","Transcription antitermination protein RfaH","0","38","8","0","0.0","0.0","0.0","3.832404138206993e-09","5.94022641422084e-07","7.42528301777605e-08","2","0","2","0.5","0.5","0.375"
"ybbW_2","","Putative allantoin permease","0","38","8","0","0.0","0.0","0.0","3.832404138206993e-09","5.94022641422084e-07","7.42528301777605e-08","2","0","2","0.5","0.5","0.375"
"mdtG_1","","Multidrug resistance protein MdtG","8","0","0","38","100.0","100.0","inf","3.832404138206993e-09","5.94022641422084e-07","7.42528301777605e-08","2","2","0","0.5","0.5","0.21875"
"preA_1","","NAD-dependent dihydropyrimidine dehydrogenase subunit PreA","8","0","0","38","100.0","100.0","inf","3.832404138206993e-09","5.94022641422084e-07","7.42528301777605e-08","2","2","0","0.5","0.5","0.28125"
"group_2","ydiV_2","Anti-FlhC(2)FlhD(4) factor YdiV","8","0","0","38","100.0","100.0","inf","3.832404138206993e-09","5.94022641422084e-07","7.42528301777605e-08","2","2","0","0.5","0.5","0.34375"
"oatA","","O-acetyltransferase OatA","8","0","0","38","100.0","100.0","inf","3.832404138206993e-09","5.94022641422084e-07","7.42528301777605e-08","2","2","0","0.5","0.5","0.375"
"group_64","clpP_2","ATP-dependent Clp protease proteolytic subunit","8","0","0","38","100.0","100.0","inf","3.832404138206993e-09","5.94022641422084e-07","7.42528301777605e-08","2","2","0","0.5","0.5","0.2"
"cea","","Colicin-E1","0","28","8","10","0.0","26.31578947368421","0.0","0.00016769834027966185","0.025993242743347588","0.0021661035619456323","2","0","2","0.5","0.5","0.21875"
"mbeC","","Mobilization protein MbeC","0","28","8","10","0.0","26.31578947368421","0.0","0.00016769834027966185","0.025993242743347588","0.0021661035619456323","2","0","2","0.5","0.5","0.21875"
"cnl","","Lysis protein for colicin N","0","28","8","10","0.0","26.31578947368421","0.0","0.00016769834027966185","0.025993242743347588","0.0021661035619456323","2","0","2","0.5","0.5","0.21875"
"rop","","Regulatory protein rop","0","28","8","10","0.0","26.31578947368421","0.0","0.00016769834027966185","0.025993242743347588","0.0021661035619456323","2","0","2","0.5","0.5","0.19444444444444445"
"rfbD_2","","UDP-galactopyranose mutase","0","25","8","13","0.0","34.21052631578947","0.0","0.0007798559180837398","0.12087766730297966","0.009298282100229205","2","0","2","0.5","0.5","0.06293706293706294"
